Year,United States,Australia,Canada,France,Germany,Italy,Japan,"Korea, Republic of",Mexico,Netherlands,New Zealand,South Africa,Spain,Sweden,Turkey,United Kingdom,group
1991,53.7,48.2,53.2,42,44.3,29.7,48.6,46.2,NA,40.9,49,NA,26.2,60.6,NA,49.6,employment-population ratios for women
1992,53.8,47.8,52.4,41.9,43.4,29.7,48.7,46.1,NA,41.9,48.7,NA,26.1,58.4,NA,49.1,employment-population ratios for women
1993,54.1,47.6,51.9,42.1,42.7,30.7,48.2,46,NA,42.7,49.1,NA,25.3,55.5,NA,49.1,employment-population ratios for women
1994,55.3,48.6,52.4,41.9,42.3,30.3,48,46.9,NA,43.2,50.8,NA,25.2,54.3,NA,49.3,employment-population ratios for women
1995,55.6,50.3,52.7,42.4,42.7,30.2,47.7,47.6,NA,44.3,52.2,NA,25.9,54.7,NA,49.8,employment-population ratios for women
1996,56,50.4,52.6,42.5,42.8,30.5,47.6,48.1,NA,45.3,53.6,NA,26.8,53.9,NA,50.4,employment-population ratios for women
1997,56.8,50.4,53.2,42.2,42.7,30.7,47.9,48.6,NA,47.2,53.2,NA,27.8,53,NA,51,employment-population ratios for women
1998,57.1,51,54.3,42.6,43.5,31.2,47.4,44.4,NA,48.6,52.7,NA,28.7,53.3,NA,51.4,employment-population ratios for women
1999,57.4,51.3,55.2,43.1,44.1,31.9,46.6,45.2,NA,50.3,53.5,NA,30.7,54.2,NA,52,employment-population ratios for women
2000,57.5,52.5,56,44,44.4,32.7,46.4,47,NA,51.8,54,NA,32.8,56.1,NA,52.5,employment-population ratios for women
2001,57,52.6,56.2,44.5,44.8,33.8,46.1,47.7,NA,53.3,55.1,NA,34.1,56.7,NA,52.7,employment-population ratios for women
2002,56.3,52.9,57.1,44.9,44.7,34.3,45.4,48.4,NA,54.1,55.8,NA,35.2,57.1,NA,53,employment-population ratios for women
2003,56.1,53.6,58,44.9,44.5,34.2,45.3,47.4,NA,54,56.4,NA,36.7,56.8,NA,53.1,employment-population ratios for women
2004,56,53.7,58.2,44.9,44.3,34.2,45.5,48.3,NA,53.8,57.1,NA,38.3,56.1,NA,53.4,employment-population ratios for women
2005,56.2,55,58.1,45,44.9,34.1,45.7,48.4,37.4,54.1,58.4,NA,40.5,56,NA,53.7,employment-population ratios for women
2006,56.6,55.7,58.6,45.1,46,34.7,46,48.8,38.7,55,58.9,NA,42.2,56.4,19.9,53.8,employment-population ratios for women
2007,56.6,56.4,59.5,46,47.1,34.9,46.1,48.9,38.9,56.6,59.3,NA,43.4,57.3,19.9,53.6,employment-population ratios for women
2008,56.2,57.2,59.6,46.5,47.8,35.3,45.9,48.7,38.9,57.5,59.5,37.4,43.7,57.3,20.4,53.8,employment-population ratios for women
2009,54.4,56.9,58.7,46.2,48.3,34.7,45.6,47.7,38.8,57.6,58.4,36.2,41.9,56,20.9,53.2,employment-population ratios for women
2010,53.6,56.6,58.5,46,48.9,34.5,45.7,47.8,38.5,55.7,57.8,34.3,41.4,55.2,22.6,52.9,employment-population ratios for women
2011,53.2,56.8,58.5,46,50.2,34.7,45.6,48.1,39,55.8,58.3,34.6,41,56.3,23.9,52.8,employment-population ratios for women
2012,53.1,56.7,58.5,46,50.4,35,45.7,48.4,39.9,55.9,58,34.9,39.7,56.7,24.5,52.9,employment-population ratios for women
1970,82771,5478,8395,20800,26247,19723,50736,10062,NA,NA,NA,NA,NA,3909,NA,NA,labor force
1971,84382,5624,8639,21000,26382,19656,51106,10407,NA,NA,NA,NA,NA,3955,NA,25386,labor force
1972,87034,5752,8897,21150,26479,19450,51317,10865,NA,NA,NA,NA,NA,3963,NA,25515,labor force
1973,89429,5901,9276,21430,26783,19594,52597,11389,NA,5210,NA,NA,NA,3971,NA,25736,labor force
1974,91949,6053,9639,21660,26667,19904,52443,11900,NA,5290,NA,NA,NA,4036,NA,25809,labor force
1975,93775,6169,9974,21642,26426,20085,52532,12192,NA,5340,NA,NA,NA,4123,NA,25944,labor force
1976,96158,6244,10368,21911,26286,20294,53114,12911,NA,5390,NA,NA,NA,4148,NA,26037,labor force
1977,99009,6358,10661,22226,26328,20508,53820,13316,NA,5480,NA,NA,13152,4168,NA,26120,labor force
1978,102251,6443,11022,22364,26517,20575,54611,13849,NA,5540,NA,NA,13189,4203,NA,26239,labor force
1979,104962,6519,11392,22576,26854,20852,55210,14142,NA,5640,NA,NA,13243,4262,NA,26475,labor force
1980,106940,6693,11725,22719,27256,21115,55738,14431,NA,5870,NA,NA,13279,4312,NA,26762,labor force
1981,108670,6810,12080,22856,27543,21319,56317,14683,NA,6090,NA,NA,13316,4327,NA,26877,labor force
1982,110204,6910,12145,23825,27709,21406,56978,15033,NA,6150,NA,NA,13465,4350,NA,26669,labor force
1983,111550,6997,12372,23865,27665,21590,58105,15118,NA,6120,NA,NA,13619,4369,NA,26700,labor force
1984,113544,7135,12588,23967,27796,21672,58476,14997,NA,6200,NA,NA,13684,4385,NA,27368,labor force
1985,115461,7300,12850,24130,28028,21802,58725,15592,NA,6250,NA,NA,13756,4417,NA,27585,labor force
1986,117834,7588,13100,24360,28243,22294,59366,16116,NA,6380,1690,NA,13919,4443,NA,27750,labor force
1987,119865,7758,13345,24404,28384,22351,59885,16873,NA,6378,1696,NA,14439,4440,NA,28024,labor force
1988,121669,7974,13590,24406,28609,22658,60743,17304,NA,6525,1668,NA,14803,4496,NA,28362,labor force
1989,123869,8228,13857,24590,28841,22533,61833,18023,NA,6605,1645,NA,14967,4554,NA,28682,labor force
1990,125840,8444,14047,24606,29412,22670,62986,18539,NA,6765,1668,NA,15154,4597,NA,28777,labor force
1991,126346,8490,14140,24556,39075,22944,64190,19110,NA,6914,1688,NA,15276,4594,NA,28548,labor force
1992,128105,8562,14150,24752,39005,22913,64982,19499,NA,7033,1695,NA,15331,4526,NA,28221,labor force
1993,129200,8619,14238,24848,39102,23386,65426,19805,NA,6987,1713,NA,15438,4444,NA,28102,labor force
1994,131056,8776,14347,24946,39074,23190,65580,20352,NA,7101,1759,NA,15584,4416,NA,28062,labor force
1995,132304,9000,14456,25084,38980,23171,65817,20844,NA,7339,1803,NA,15703,4457,NA,28120,labor force
1996,133943,9119,14619,25370,39142,23234,66237,21288,NA,7449,1858,NA,15969,4454,NA,28224,labor force
1997,136297,9207,14886,25337,39415,23283,67007,21782,NA,7605,1879,NA,16260,4419,NA,28395,labor force
1998,137673,9339,15134,25451,39752,23508,66994,21428,NA,7737,1884,NA,16532,4403,NA,28472,labor force
1999,139368,9414,15398,25695,39375,23639,66734,21665,NA,7873,1900,NA,16894,4429,NA,28776,labor force
2000,142583,9590,15632,25970,39301,23765,66710,22135,NA,8049,1918,NA,17482,4490,NA,28962,labor force
2001,143734,9746,15886,26109,39460,23893,66480,22471,NA,8208,1952,NA,17928,4530,NA,29107,labor force
2002,144863,9901,16356,26432,39414,24051,65866,22921,NA,8356,2013,NA,18669,4545,NA,29364,labor force
2003,146510,10085,16722,26663,39276,24071,65497,22957,NA,8397,2053,NA,19421,4565,NA,29586,labor force
2004,147401,10213,16925,26845,39711,24084,65366,23417,NA,8459,2109,NA,20068,4579,NA,29814,labor force
2005,149320,10529,17056,27028,40696,24179,65384,23743,41830,8485,2167,NA,20735,4695,NA,30148,labor force
2006,151428,10773,17266,27219,41206,24395,65625,23978,43065,8558,2220,NA,21446,4748,22072,30616,labor force
2007,153124,11060,17626,27435,41364,24459,66059,24216,43779,8700,2257,NA,22042,4824,22434,30802,labor force
2008,154287,11360,17936,27642,41481,24836,65900,24346,44402,8790,2283,17968,22703,4877,23099,31137,labor force
2009,154142,11603,18058,27920,41507,24705,65681,24395,45324,8854,2306,17668,22885,4891,23880,31268,labor force
2010,153889,11806,18263,28043,41495,24699,65521,24749,47225,8697,2333,17391,22941,4932,24808,31405,labor force
2011,153617,12000,18434,28101,42051,24820,65067,25099,48239,8694,2370,17660,22971,5000,25876,31642,labor force
2012,154975,12137,18616,28371,42189,25363,64642,25501,49650,8832,2381,18062,22924,5043,26410,31986,labor force
1970,38.1,32.8,33.6,36.6,36.5,28.3,39.4,35.9,NA,NA,NA,NA,NA,39.6,NA,NA,women's share of the labor force
1971,38.2,33.2,34.4,37,36.8,28.3,39.1,36.1,NA,NA,NA,NA,NA,40.3,NA,37.3,women's share of the labor force
1972,38.5,33.4,34.9,37.4,37.3,28.1,38.7,35.9,NA,NA,NA,NA,NA,40.8,NA,37.6,women's share of the labor force
1973,38.9,34.1,35.6,37.7,37.7,28.8,38.7,36.9,NA,27.1,NA,NA,NA,41.1,NA,38.1,women's share of the labor force
1974,39.4,34.8,36.1,38,38,29.1,38.1,36.4,NA,27.2,NA,NA,NA,41.9,NA,38.6,women's share of the labor force
1975,40,35.5,36.9,38.2,38.5,29.4,37.9,35.9,NA,27.5,NA,NA,NA,42.7,NA,38.8,women's share of the labor force
1976,40.5,35.6,37.4,38.8,38.8,30.2,37.9,37.5,NA,28,NA,NA,NA,43.1,NA,38.9,women's share of the labor force
1977,41,36.1,37.9,39.4,39,31.4,38.7,36.5,NA,28.6,NA,NA,28.1,43.8,NA,39.2,women's share of the labor force
1978,41.7,36.3,38.6,39.8,39.2,31.5,39,37.6,NA,29.2,NA,NA,28.3,44.4,NA,39.6,women's share of the labor force
1979,42.1,36.4,39.2,40.2,39.3,32.2,39.1,37.8,NA,30.1,NA,NA,28.5,44.8,NA,40,women's share of the labor force
1980,42.5,37.1,39.8,40.6,39.5,32.7,38.9,37.5,NA,31.5,NA,NA,28.6,45.3,NA,40.4,women's share of the labor force
1981,43,37.2,40.5,41,39.7,33,38.9,37.3,NA,33,NA,NA,28.4,46.1,NA,40.5,women's share of the labor force
1982,43.3,37.3,40.9,41.8,39.8,33.2,39.1,38.4,NA,34.1,NA,NA,28.9,46.4,NA,40.7,women's share of the labor force
1983,43.5,37.5,41.4,42.1,39.8,33.5,39.6,38.5,NA,34,NA,NA,29.7,46.7,NA,41.1,women's share of the labor force
1984,43.8,38,41.9,42.6,39.9,33.7,39.5,37.7,NA,34.8,NA,NA,29.9,47,NA,41.8,women's share of the labor force
1985,44.2,38.6,42.4,42.8,40.1,34,39.5,38.3,NA,34.9,NA,NA,30.1,47.2,NA,42.1,women's share of the labor force
1986,44.5,39.6,42.7,43.2,40.2,34.9,39.6,39.1,NA,36.7,42.1,NA,30.5,47.3,NA,42.6,women's share of the labor force
1987,44.8,40,43.1,43.5,40.3,35.3,39.8,39.9,NA,37.9,42.5,NA,32.7,47.7,NA,42.9,women's share of the labor force
1988,45,40.5,43.6,43.7,40.7,35.6,40,39.8,NA,38.6,43,NA,33.8,47.8,NA,43.2,women's share of the labor force
1989,45.2,41.1,43.9,43.9,41,36,40.3,40.4,NA,38.7,42.9,NA,34.1,47.8,NA,43.5,women's share of the labor force
1990,45.2,41.6,44.2,44.2,41.5,36.3,40.5,40.5,NA,39.5,43.5,NA,34.5,47.8,NA,43.7,women's share of the labor force
1991,45.3,41.8,44.6,44.5,42.8,36.3,40.6,40.2,NA,39.9,43.7,NA,34.9,47.7,NA,43.8,women's share of the labor force
1992,45.4,41.9,44.7,44.8,42.8,36.6,40.6,40,NA,40.2,43.8,NA,35.7,47.7,NA,44,women's share of the labor force
1993,45.5,42.1,44.9,45.3,42.8,37.9,40.5,40,NA,41,43.8,NA,36.2,47.7,NA,44.3,women's share of the labor force
1994,46,42.4,44.9,45.5,42.9,38.1,40.5,40.2,NA,41.3,44.1,NA,37,47.6,NA,44.5,women's share of the labor force
1995,46.1,42.9,45.1,45.8,43.1,38.4,40.5,40.3,NA,41.5,44.3,NA,37.6,47.6,NA,44.7,women's share of the labor force
1996,46.2,43,45.2,45.9,43.3,38.8,40.5,40.6,NA,41.8,44.7,NA,37.9,47.7,NA,44.9,women's share of the labor force
1997,46.2,43.1,45.3,45.8,43.4,39,40.7,41,NA,42.3,44.8,NA,38.3,47.5,NA,45.1,women's share of the labor force
1998,46.3,43.3,45.5,46.2,43.5,39.4,40.7,40,NA,42.4,45.1,NA,38.3,47.2,NA,45.3,women's share of the labor force
1999,46.5,43.5,45.7,46.3,44,39.8,40.6,40.5,NA,42.9,45.3,NA,38.7,47.4,NA,45.4,women's share of the labor force
2000,46.5,44,45.9,46.4,44.3,40.1,40.8,41.1,NA,43.2,45.4,NA,39.2,47.5,NA,45.6,women's share of the labor force
2001,46.5,44.3,46,46.6,44.4,40.5,40.9,41.4,NA,43.6,45.7,NA,39.3,47.7,NA,45.6,women's share of the labor force
2002,46.5,44.4,46.2,46.7,44.7,40.6,40.9,41.4,NA,43.9,45.8,NA,40,47.8,NA,45.7,women's share of the labor force
2003,46.6,44.8,46.5,47,45,40.7,41.1,41,NA,44.2,46.1,NA,40.6,47.8,NA,45.7,women's share of the labor force
2004,46.4,44.6,46.6,47.3,45.1,40.7,41.3,41.4,NA,44.4,46.1,NA,41.1,47.8,NA,45.8,women's share of the labor force
2005,46.4,45,46.5,47.4,45.2,40.5,41.4,41.5,36.5,44.9,46.4,NA,41.4,47.5,NA,45.9,women's share of the labor force
2006,46.3,45.2,46.8,47.5,45.5,40.6,41.6,41.7,37.2,45.2,46.5,NA,42,47.5,25.1,46,women's share of the labor force
2007,46.4,45.3,47,47.8,45.7,40.6,41.6,41.7,37.5,45.5,46.6,NA,42.4,47.6,25.1,45.8,women's share of the labor force
2008,46.5,45.4,47,47.8,45.7,41,41.7,41.6,37.4,45.7,46.8,45.4,43.1,47.5,25.6,45.8,women's share of the labor force
2009,46.7,45.5,47.2,48,45.9,41.1,42,41.3,37.6,45.9,46.9,45.2,44,47.4,26.6,46,women's share of the labor force
2010,46.7,45.4,47.2,48,46,41.3,42.2,41.4,37.3,45.9,46.9,44.9,44.6,47.1,27.6,46.1,women's share of the labor force
2011,46.6,45.6,47.2,48.1,46.2,41.6,42.1,41.5,37.5,46.2,46.9,45.4,45.2,47.3,28.2,46.2,women's share of the labor force
2012,46.9,45.7,47.3,48,46.1,42.3,42.4,41.6,38,46.2,47.1,45.3,45.8,47.5,28.6,46.2,women's share of the labor force
1970,60.4,62.1,57.8,56.2,56.9,49,64.5,57.6,NA,NA,NA,NA,NA,64,NA,NA,labor force participation rates
1971,60.2,62.2,58.1,56.1,56.5,48.7,64.2,57.4,NA,NA,NA,NA,NA,64.2,NA,62.8,labor force participation rates
1972,60.4,62.3,58.6,55.9,56.2,47.7,63.8,57.7,NA,NA,NA,NA,NA,64.2,NA,62.9,labor force participation rates
1973,60.8,62.6,59.7,56.1,56.3,47.6,64,58.4,NA,53.4,NA,NA,NA,64.1,NA,63.1,labor force participation rates
1974,61.3,63,60.5,56.2,55.7,47.7,63.1,58.9,NA,53.5,NA,NA,NA,64.9,NA,63.1,labor force participation rates
1975,61.2,63.2,61.1,55.7,55,47.7,62.4,58.3,NA,54.5,NA,NA,NA,65.9,NA,63.1,labor force participation rates
1976,61.6,62.7,62.5,55.9,54.6,48,62.4,59.7,NA,54.1,NA,NA,NA,66,NA,63,labor force participation rates
1977,62.3,62.7,62.8,56.2,54.4,48.2,62.5,59.4,NA,54.2,NA,NA,51.9,66,NA,62.8,labor force participation rates
1978,63.2,61.9,63.7,56.1,54.4,47.8,62.8,59.9,NA,54,NA,NA,51.4,66.1,NA,62.6,labor force participation rates
1979,63.7,61.6,64.5,56.1,54.5,48,62.7,59.5,NA,54.2,NA,NA,50.9,66.6,NA,62.7,labor force participation rates
1980,63.8,62.1,65,56,54.7,48.1,62.6,59,NA,55.4,NA,NA,50.4,66.9,NA,62.8,labor force participation rates
1981,63.9,61.9,65.7,55.8,54.7,48.3,62.6,58.5,NA,56.7,NA,NA,49.8,66.8,NA,62.7,labor force participation rates
1982,64,61.7,64.9,57.7,54.6,47.7,62.7,58.6,NA,56.6,NA,NA,49.7,66.8,NA,61.9,labor force participation rates
1983,64,61.4,65.2,57.3,54.3,47.5,63.1,57.7,NA,55.7,NA,NA,49.6,66.7,NA,61.6,labor force participation rates
1984,64.4,61.5,65.5,57.1,54.4,47.3,62.7,55.8,NA,55.7,NA,NA,49.1,66.6,NA,62.8,labor force participation rates
1985,64.8,61.7,66,57,54.7,47.2,62.2,56.6,NA,55.5,NA,NA,48.7,66.9,NA,62.9,labor force participation rates
1986,65.3,62.8,66.4,57.1,54.9,47.8,62.1,57.1,NA,56,66.7,NA,48.6,67,NA,62.9,labor force participation rates
1987,65.6,63,66.8,56.7,55,47.6,61.8,58.3,NA,55.2,66.4,NA,49.8,66.5,NA,63.2,labor force participation rates
1988,65.9,63.3,67.1,56.2,55.1,47.4,61.8,58.5,NA,55.9,64.9,NA,50.2,66.9,NA,63.8,labor force participation rates
1989,66.5,64.2,67.5,56.2,55.2,47.3,62.1,59.6,NA,56.1,63.6,NA,50.1,67.3,NA,64.3,labor force participation rates
1990,66.5,64.7,67.4,55.7,55,47.2,62.6,60,NA,57,63.9,NA,50.2,67.4,NA,64.4,labor force participation rates
1991,66.2,64.2,66.8,55.3,58.8,47.8,63.1,60.6,NA,57.7,63.8,NA,50.2,67,NA,63.7,labor force participation rates
1992,66.4,63.9,65.9,55.4,58.1,47.5,63.3,60.9,NA,58.2,63.3,NA,49.8,65.8,NA,62.9,labor force participation rates
1993,66.3,63.6,65.5,55.3,57.8,49.4,63.2,60.9,NA,57.4,63.3,NA,49.7,64.5,NA,62.6,labor force participation rates
1994,66.6,63.9,65.2,55.2,57.4,48.8,62.9,61.6,NA,58,64.1,NA,49.7,63.7,NA,62.4,labor force participation rates
1995,66.6,64.6,64.9,55.2,57.1,48.6,62.8,61.9,NA,59.6,64.7,NA,49.6,64,NA,62.4,labor force participation rates
1996,66.8,64.6,64.8,55.5,57.1,48.7,62.8,62.1,NA,60.1,65.6,NA,49.9,63.9,NA,62.4,labor force participation rates
1997,67.1,64.3,65.1,55.1,57.3,48.7,63,62.5,NA,61.1,65.5,NA,50.2,63.3,NA,62.5,labor force participation rates
1998,67.1,64.3,65.4,55.1,57.7,49.1,62.6,60.6,NA,61.7,65,NA,50.6,62.9,NA,62.4,labor force participation rates
1999,67.1,64,65.8,55.2,56.9,49.3,62,60.6,NA,62.4,65.1,NA,51.2,62.7,NA,62.8,labor force participation rates
2000,67.1,64.4,66,55.4,56.7,49.5,61.7,61.2,NA,63.4,65.3,NA,52.3,63.7,NA,62.8,labor force participation rates
2001,66.8,64.4,66.1,55.2,56.7,49.7,61.2,61.4,NA,64.1,65.8,NA,52.8,63.7,NA,62.7,labor force participation rates
2002,66.6,64.3,67.1,55.4,56.4,49.9,60.4,62,NA,64.8,66.6,NA,54.1,63.9,NA,62.9,labor force participation rates
2003,66.2,64.6,67.7,55.5,56,49.6,59.9,61.5,NA,64.8,66.4,NA,55.3,63.9,NA,62.9,labor force participation rates
2004,66,64.6,67.6,55.4,56.4,49.1,59.6,62.1,NA,65,67,NA,56.2,63.6,NA,62.9,labor force participation rates
2005,66,65.4,67.3,55.3,57.5,48.7,59.5,62,57.1,64.9,67.8,NA,57.1,64.8,NA,63.1,labor force participation rates
2006,66.2,65.8,67.2,55.3,58.1,48.9,59.6,61.9,58,65.2,68.3,NA,58.1,64.9,44.9,63.5,labor force participation rates
2007,66,66.2,67.5,55.4,58.3,48.6,59.8,61.8,58,66,68.5,NA,58.7,65.3,44.9,63.4,labor force participation rates
2008,66,66.7,67.7,55.5,58.4,49,59.6,61.5,57.8,66.2,68.5,58,59.6,65.3,45.5,63.5,labor force participation rates
2009,65.4,66.7,67.2,55.8,58.5,48.4,59.3,60.8,57.9,66.2,68.2,56.1,59.7,64.8,46.2,63.4,labor force participation rates
2010,64.7,66.4,67,55.8,58.6,48.1,59.1,61,57.6,64.6,68.1,54.3,59.8,64.7,47.2,63.2,labor force participation rates
2011,64.1,66.5,66.8,55.6,59.2,48.1,58.7,61.1,57.8,64.2,68.4,54.3,59.8,65.1,48.3,63.2,labor force participation rates
2012,63.7,66.2,66.7,55.9,59.2,49,58.4,61.3,58.4,64.8,68.2,54.8,59.8,65.2,48.3,63.4,labor force participation rates
1970,79.7,84.1,77.8,75.6,78.8,73.7,81.5,77.9,NA,NA,NA,NA,NA,78.5,NA,NA,Labor force participation rates for men
1971,79.1,83.8,77.3,74.7,77.5,73.4,81.9,77.2,NA,NA,NA,NA,NA,78,NA,83.1,Labor force participation rates for men
1972,78.9,83.6,77.5,74,76.4,72,81.8,77.5,NA,NA,NA,NA,NA,77.3,NA,82.8,Labor force participation rates for men
1973,78.8,83.1,78.2,73.7,75.8,71.2,81.8,76.8,NA,79.4,NA,NA,NA,76.8,NA,82.3,Labor force participation rates for men
1974,78.7,82.7,78.7,73.5,74.6,71,81.6,77.7,NA,79.3,NA,NA,NA,76.8,NA,81.5,Labor force participation rates for men
1975,77.9,82.2,78.4,72.6,73.3,70.6,81,77.4,NA,80,NA,NA,NA,77,NA,81.3,Labor force participation rates for men
1976,77.5,81.5,79.2,72.2,72.5,70.4,81,77.4,NA,79.2,NA,NA,NA,76.5,NA,80.9,Labor force participation rates for men
1977,77.7,81,79,72,71.9,69.5,80.3,78.7,NA,78.7,NA,NA,78.8,75.6,NA,80.2,Labor force participation rates for men
1978,77.9,79.8,79.3,71.4,71.6,68.7,80,77.9,NA,77.8,NA,NA,77.8,75.1,NA,79.3,Labor force participation rates for men
1979,77.8,79.5,79.6,70.9,71.5,68.3,79.7,76.9,NA,77,NA,NA,76.8,75.1,NA,78.8,Labor force participation rates for men
1980,77.4,79.1,79.5,70.2,71.2,67.9,79.3,76.4,NA,77.4,NA,NA,75.7,74.9,NA,78.5,Labor force participation rates for men
1981,77,78.8,79.4,69.5,70.9,67.8,79.3,75.8,NA,77.5,NA,NA,75,73.8,NA,78.1,Labor force participation rates for men
1982,76.6,78.4,77.9,71,70.6,66.9,79,75,NA,76.1,NA,NA,74.2,73.4,NA,77,Labor force participation rates for men
1983,76.4,77.6,77.7,70.2,70.1,66.2,79.1,73.7,NA,75.2,NA,NA,73.3,72.9,NA,76.1,Labor force participation rates for men
1984,76.4,77.3,77.5,69.3,70,65.6,78.4,72.1,NA,74.3,NA,NA,72.3,72.4,NA,76.5,Labor force participation rates for men
1985,76.3,76.7,77.5,69,70.1,65.3,77.6,72.3,NA,73.8,NA,NA,71.2,72.5,NA,76.1,Labor force participation rates for men
1986,76.3,76.7,77.6,68.6,70.2,65.2,77.3,72.1,NA,72.4,79.4,NA,70.6,72.5,NA,75.5,Labor force participation rates for men
1987,76.2,76.2,77.4,67.8,69.9,64.5,76.6,72.5,NA,69.9,78.5,NA,70,71.3,NA,75.5,Labor force participation rates for men
1988,76.2,76,77.2,67,69.6,63.9,76.5,72.9,NA,70.1,76.1,NA,69.4,71.6,NA,75.7,Labor force participation rates for men
1989,76.4,76.4,77.2,66.6,69.1,63.4,76.4,73.4,NA,70.2,74.9,NA,68.9,72.1,NA,75.9,Labor force participation rates for men
1990,76.4,76.5,76.6,65.6,68.5,63,76.7,74,NA,70.4,74.3,NA,68.6,72,NA,75.7,Labor force participation rates for men
1991,75.8,75.6,75.5,64.7,71.1,63.7,77.1,75,NA,70.7,73.9,NA,68.1,71.7,NA,74.7,Labor force participation rates for men
1992,75.8,75.1,74.4,64.5,70.1,63.1,77.5,75.7,NA,71,73.2,NA,66.7,70.5,NA,73.5,Labor force participation rates for men
1993,75.4,74.5,73.7,63.8,69.3,64.3,77.6,75.7,NA,69.1,73.2,NA,65.8,69.2,NA,72.7,Labor force participation rates for men
1994,75.1,74.5,73.4,63.4,68.8,63.4,77.2,76.3,NA,69.4,73.7,NA,64.9,68.5,NA,72.3,Labor force participation rates for men
1995,75,74.7,72.8,63.1,68.1,62.8,77,76.4,NA,70.9,74.1,NA,64.3,68.8,NA,72,Labor force participation rates for men
1996,74.9,74.5,72.5,63.4,67.8,62.5,77.1,76.2,NA,71.2,74.5,NA,64.3,68.6,NA,71.7,Labor force participation rates for men
1997,75,74,72.7,63,67.6,62.3,77.1,76.1,NA,71.7,74.3,NA,64.2,68.1,NA,71.5,Labor force participation rates for men
1998,74.9,73.7,72.7,62.4,67.9,62.4,76.6,75.1,NA,72.3,73.6,NA,64.6,68,NA,71.2,Labor force participation rates for men
1999,74.7,73.4,72.9,62.5,66.1,62.3,76.1,74.4,NA,72.4,73.5,NA,65,67.5,NA,71.4,Labor force participation rates for men
2000,74.8,73.1,72.8,62.6,65.6,62.3,75.5,74.4,NA,73.1,73.6,NA,65.7,68.5,NA,71.1,Labor force participation rates for men
2001,74.4,72.7,72.7,62.1,65.3,62,74.8,74.3,NA,73.5,73.9,NA,66.1,68,NA,70.9,Labor force participation rates for men
2002,74.1,72.5,73.4,62.3,64.6,62.2,73.8,75,NA,73.9,74.6,NA,66.8,68.1,NA,70.8,Labor force participation rates for men
2003,73.5,72.4,73.7,61.9,63.7,61.6,73,74.7,NA,73.6,73.8,NA,67.5,68,NA,70.8,Labor force participation rates for men
2004,73.3,72.6,73.5,61.5,64.1,60.9,72.4,75,NA,73.5,74.5,NA,67.9,67.7,NA,70.6,Labor force participation rates for men
2005,73.3,73,73.2,61.3,65.2,60.6,72.3,74.6,77.8,72.8,75,NA,68.5,69.2,NA,70.5,Labor force participation rates for men
2006,73.5,73.2,72.6,61.1,65.5,60.6,72.2,74.1,78.3,72.8,75.6,NA,68.9,69.2,68.7,70.8,Labor force participation rates for men
2007,73.2,73.3,72.8,60.9,65.4,60.3,72.4,74,77.9,73.2,75.6,NA,69,69.5,68.6,70.7,Labor force participation rates for men
2008,73,73.6,73,61,65.4,60.2,72,73.5,77.5,73.2,75.2,65.8,69.3,69.5,69,70.8,Labor force participation rates for men
2009,72,73.3,72,61.1,65.3,59.4,71.3,73.1,76.7,72.9,74.6,63.7,68.4,68.9,69.1,70.2,Labor force participation rates for men
2010,71.2,73.2,71.8,61,65.1,59,70.9,73,76.5,71.1,74.4,61.8,67.8,69.3,69.6,69.8,Labor force participation rates for men
2011,70.5,73.1,71.7,60.7,65.6,58.7,70.5,73.1,76.4,70.3,74.6,61.2,67.2,69.3,70.6,69.7,Labor force participation rates for men
2012,70.2,72.6,71.4,61.1,65.5,59.2,69.8,73.3,76.7,70.9,74,61.7,66.7,69.2,70,69.8,Labor force participation rates for men
1970,43.3,40.4,38.3,39,38.4,26.4,49.2,39.3,NA,NA,NA,NA,NA,50,NA,NA,labor force participation rates for women
1971,43.4,41,39.4,39.4,38.5,26.3,48.6,39.5,NA,NA,NA,NA,NA,50.9,NA,44.6,labor force participation rates for women
1972,43.9,41.2,40.2,39.8,39,25.6,47.8,39.6,NA,NA,NA,NA,NA,51.5,NA,44.9,labor force participation rates for women
1973,44.7,42.4,41.9,40.2,39.5,26.1,48,41.5,NA,28.5,NA,NA,NA,51.7,NA,45.8,labor force participation rates for women
1974,45.7,43.5,43,40.6,39.4,26.5,46.5,41.5,NA,28.7,NA,NA,NA,53.3,NA,46.4,labor force participation rates for women
1975,46.3,44.5,44.4,40.4,39.3,26.8,45.8,40.4,NA,29.5,NA,NA,NA,55.2,NA,46.6,labor force participation rates for women
1976,47.3,44.3,46.2,41.3,39.3,27.6,45.9,43.2,NA,29.9,NA,NA,NA,55.9,NA,46.7,labor force participation rates for women
1977,48.4,44.8,47.1,42,39.3,28.9,46.9,41.7,NA,30.6,NA,NA,27.7,56.7,NA,46.9,labor force participation rates for women
1978,50,44.5,48.5,42.4,39.6,28.8,47.5,43.3,NA,31.1,NA,NA,27.7,57.5,NA,47.4,labor force participation rates for women
1979,50.9,44.3,49.8,42.8,39.9,29.5,47.6,43.3,NA,32.1,NA,NA,27.6,58.5,NA,48,labor force participation rates for women
1980,51.5,45.5,51,43.1,40.3,30.1,47.2,42.8,NA,34.3,NA,NA,27.4,59.3,NA,48.6,labor force participation rates for women
1981,52.1,45.5,52.3,43.5,40.7,30.4,47.3,42.3,NA,36.7,NA,NA,27,60.1,NA,48.6,labor force participation rates for women
